,Unnamed: 0.1,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Country,Region,CategoryID,CategoryName,pub_month,pub_week,pub_day,pub_weekday,views_per_sub,likes_per_sub
4836,4836,3917,1958,583,1863,43350,611,95,1150000,86,44,25,2,10,42,13,0,0.0376956193951135,0.0005313038858227
4837,4837,1061,4878,4348,3985,180340,2620,198,206000,36,17,2,6,10,42,16,3,0.8754326435308566,0.0127183848622094
4838,4838,2521,1562,3899,4577,28922,1338,186,16600,12,9,25,2,10,42,16,3,1.7421842057707366,0.0805975543641949
4839,4839,892,1107,751,1667,2530174,10122,11,1040000,91,48,17,9,10,42,13,0,2.432857276098773,0.0097326829493433
4840,4840,4380,5650,4150,1313,33604,1933,59,45500,67,13,22,1,10,41,12,6,0.7385332190501308,0.042482582800378
4841,4841,4689,6738,1701,1616,5094622,8324,631,44300,67,12,17,9,10,42,13,0,115.0001580099772,0.1878964357463714
4842,4842,4006,26,5260,2755,4074287,9697,76,16100,42,35,28,4,10,42,15,2,253.0455872306068,0.6022607291472579
4843,4843,7370,5021,100,2474,55778,2589,154,192000,77,38,20,0,10,42,14,1,0.2905089035994604,0.0134843047692459
4844,4844,6644,4446,4922,0,2864937,47599,4623,92600,67,31,10,7,9,37,13,5,30.9385103832572,0.5140225267545707
4845,4845,1197,2392,2040,2582,959769,14207,3,272000,30,14,17,9,10,42,14,1,3.528549527391444,0.0522314256197587
4846,4846,8010,5059,4146,4103,55936,8467,429,300000,91,5,22,1,10,42,16,3,0.1864527118242939,0.0282232392558691
4847,4847,7836,2813,3018,397,674785,10965,340,386000,77,38,10,7,10,41,7,1,1.7481431395255451,0.0284066621589063
4848,4848,8187,4330,2889,5359,2095819,19178,98,677000,86,44,23,10,10,42,17,4,3.095739888124242,0.0283278754388841
4849,4849,5450,5305,4227,5523,201819,1290,61,114000,8,30,23,10,10,42,17,4,1.770326576082666,0.0113156902132437
4850,4850,1757,2051,3546,1429,923799,18485,662,2050000,67,2,22,1,10,41,12,6,0.4506334387153957,0.0090170687721615
4851,4851,5086,816,4307,5026,5354435,173217,188,35800,72,2,17,9,10,42,17,4,149.5610457808441,4.838328538308986
4852,4852,2072,6610,312,7130,490581,5462,128,22000000,76,12,25,2,10,42,19,6,0.0222991353500393,0.0002482727159876
4853,4853,256,3717,5533,2729,650410,6041,829,63900,39,19,25,2,10,42,15,2,10.178400963991171,0.0945368617079544
4854,4854,2397,1521,1271,6386,2864022,82977,148,3120000,67,8,26,5,10,42,18,5,0.9179554750142708,0.0265951837835949
4855,4855,3044,5796,4077,146,135654,4087,45,86000,38,18,28,4,9,40,29,0,1.5773537517005616,0.0475227032243811
4856,4856,377,2508,168,6494,29026,1586,61,283000,67,14,22,1,10,42,18,5,0.1025650086042098,0.0056042204797862
4857,4857,867,1488,1826,7445,1226840,28984,207,170000,86,44,1,8,10,42,19,6,7.21666343139158,0.1704931147463838
4858,4858,4274,3225,5680,3358,4053712,126290,257,54500,4,6,17,9,10,42,15,2,74.37867195097337,2.3172051888956164
4859,4859,630,3847,2844,4929,426950,22243,723,402000,73,36,10,7,10,42,17,4,1.0620620346715557,0.0553307081325668
4860,4860,5456,5396,3510,1586,1415097,9013,13,636000,7,3,28,4,10,42,13,0,2.224991784604112,0.014171361365784
4861,4861,709,1412,5062,3418,1133875,27473,764,185000,67,11,2,6,10,42,15,2,6.12902092421122,0.1485018999897298
4862,4862,3648,2725,5420,3929,3915469,50513,65,448000,93,48,24,3,10,42,16,3,8.739866652083366,0.1127519804643293
4863,4863,2479,3294,2552,5096,44576906,1042797,3914,6860000,91,12,26,5,10,42,17,4,6.49809030640083,0.1520112023307285
4864,4864,3096,3908,1017,5367,200907,11608,872,982000,30,4,25,2,10,42,17,4,0.2045894046951072,0.0118207618933178
4865,4865,2480,8394,6320,6402,590384,7143,835,2740000,12,37,20,0,10,42,18,5,0.2154685345005348,0.0026069333551338
4866,4866,6890,7971,7532,2146,2173819,20110,278,35900,48,25,26,5,10,42,14,1,60.550374641374894,0.5601515278125957
4867,4867,3725,842,5567,4497,3144881,102689,417,126000,91,2,2,6,10,42,16,3,24.95917492718312,0.8149855953524179
4868,4868,4318,3778,2236,2479,792507,6116,89,404000,22,11,2,6,10,42,14,1,1.9616461345392708,0.0151385763896624
4869,4869,3370,4824,4759,8023,66401,6801,324,1110000,91,47,20,0,10,43,20,0,0.059820666828228,0.0061270215071878
4870,4870,2153,3535,1014,4898,28550707,210108,170,889000,42,3,1,8,10,42,17,4,32.11549480821731,0.2363416914041716
4871,4871,5690,2209,2997,3158,29037237,761671,3534,15400000,91,2,26,5,10,42,15,2,1.8855347476925488,0.0494591526325225
4872,4872,7655,4951,4899,5184,464063,13779,149,12000,73,36,23,10,10,42,17,4,38.66869427547704,1.1481543204732938
4873,4873,5757,1678,521,7666,55210,605,12,174000,12,5,20,0,10,42,19,6,0.3172970270285803,0.003476991511543
4874,4874,5616,2321,5127,3122,1217123,55976,1883,11400000,46,23,10,7,10,42,15,2,0.106765166073231,0.0049101750078793
4875,4875,3222,588,793,4239,420656,5650,120,147000,30,14,2,6,10,42,16,3,2.861585975605608,0.0384351126863082
